,firstname,lastname,link
0,Heleen,de Boer,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/groenlinks/heleen-de-boer/
1,Peter,van Corler,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/groenlinks/peter-van-corler/
2,Fred,Dekkers,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/groenlinks/fred-dekkers/
3,Melody,Deldjou Fard,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/groenlinks/melody-deldjou-fard/
4,Janneke,van der Heijden,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/groenlinks/janneke-van-der-heijden/
5,Rachel,Heijne,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/groenlinks/rachel-heijne/
6,Julia,Kleinrensink,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/groenlinks/julia-kleinrensink/
7,Floor,de Koning,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/groenlinks/floor-de-koning/
8,Sophie,Schers,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/groenlinks/sophie-schers/
9,Erwin,Virginia,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/groenlinks/erwin-virginia/
10,Thijs,Weistra,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/groenlinks/thijs-weistra/
11,Pepijn,Zwanenberg,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/groenlinks/pepijn-zwanenberg/
12,Jony,Ferket,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/d66/jony-ferket/
13,Has,Bakker,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/d66/has-bakker/
14,Ellen,Bijsterbosch,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/d66/ellen-bijsterbosch/
15,Hind,Dekker-Abdulaziz,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/d66/hind-dekker-abdulaziz/
16,Corine,van Dun,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/d66/corine-van-dun/
17,Maarten,Koning,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/d66/maarten-koning/
18,Anne-Marijke,Podt,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/d66/anne-marijke-podt/
19,Lars,Roodenburg,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/d66/lars-roodenburg/
20,Mohammed,Saiah,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/d66/mohammed-saiah/
21,Susanne,Schilderman,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/d66/susanne-schilderman/
22,Dimitri,Gilissen,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/vvd/dimitri-gilissen/
23,Martijn,van Dalen,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/vvd/martijn-van-dalen/
24,Gertjan,te Hoonte,https://www.utrecht.nl/bestuur-en-organisatie/gemeenteraad/wie-zit-er-in-de-raad/vvd/gertjan-te-hoonte/
